序号,Id,昵称,所在地,类型,节点,层级,关注数,粉丝数,Label,Source,Target
7942,2193195127,望舒70626,天津 武清区,1,1066,1,211,28,望舒70626,2193195127,1323527941
7943,2905587005,DoraNOemon,海外 美国,1,1066,1,366,45,DoraNOemon,2905587005,1323527941
7944,3257578792,存钱买凯迪拉克的少年,其他,1,1066,1,193,177,存钱买凯迪拉克的少年,3257578792,1323527941
7945,1560168154,爱喝咖啡的红酱,福建 泉州,1,1066,1,222,863,爱喝咖啡的红酱,1560168154,1323527941
7946,2439796907,快考试了,北京 崇文区,1,1066,1,209,109,快考试了,2439796907,1323527941
7947,1752222140,三虾山下南,,1,1066,1,43,18,三虾山下南,1752222140,1323527941
7948,1859899382,小默心里冇得数,,1,1066,1,228,2337,小默心里冇得数,1859899382,1323527941
7949,5789192814,为你沉沦的心,,1,1066,1,72,13,为你沉沦的心,5789192814,1323527941
7950,2716031747,淡定的趴着,河南 洛阳,1,1066,1,156,139,淡定的趴着,2716031747,1323527941
7951,2344227855,阿杜小花花是上班族,吉林 长春,1,1066,1,99,290,阿杜小花花是上班族,2344227855,1323527941
7952,1774164995,明日里的黄花,陕西 西安,1,1066,1,49,353,明日里的黄花,1774164995,1323527941
7953,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
7954,2400705305,小板凳小板凳都是木头,北京 朝阳区,1,1066,1,757,418,小板凳小板凳都是木头,2400705305,1323527941
7955,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
7956,1296870021,YKX小可,其他,1,1066,1,473,221,YKX小可,1296870021,1323527941
7957,1774164995,明日里的黄花,陕西 西安,1,1066,1,49,353,明日里的黄花,1774164995,1323527941
7958,1773189483,嘟嘟木鱼,,1,1066,1,324,864,嘟嘟木鱼,1773189483,1323527941
7959,1296870021,YKX小可,其他,1,1066,1,473,221,YKX小可,1296870021,1323527941
7960,3002654553,aquynh吴,云南 昆明,1,1066,1,148,83,aquynh吴,3002654553,1323527941
7961,1774319352,黄桃罐头不是你的,北京 顺义区,1,1066,1,392,324,黄桃罐头不是你的,1774319352,1323527941
7962,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
7963,1773189483,嘟嘟木鱼,,1,1066,1,324,864,嘟嘟木鱼,1773189483,1323527941
7964,1296870021,YKX小可,其他,1,1066,1,473,221,YKX小可,1296870021,1323527941
7965,5513184418,-Centaurs,海外,1,1066,1,216,31,-Centaurs,5513184418,1323527941
7966,1278815247,Anny_lyan,,1,1066,1,204,180,Anny_lyan,1278815247,1323527941
7967,2905587005,DoraNOemon,海外 美国,1,1066,1,366,45,DoraNOemon,2905587005,1323527941
7968,3556253257,双眼皮大脸猫595646399,其他,1,1066,1,74,10,双眼皮大脸猫595646399,3556253257,1323527941
7969,1296870021,YKX小可,其他,1,1066,1,473,221,YKX小可,1296870021,1323527941
7970,1272171644,iTs_Sonic,北京 海淀区,1,1066,1,156,181,iTs_Sonic,1272171644,1323527941
