id,uid,昵称,所在地,转发时间,节点,层级,转发数,评论数,点赞数,内容
1601,2923005895,老崔的革命根据地,北京 海淀区,2016-07-25 08:59,1,1,0,0,0,傻逼
1600,5201965103,Alzek87,其他,2016-07-25 08:59,1,1,1,0,0,智商太低或者视力太差的话，动物园都去不了
1648,5201965103,Alzek87,其他,2016-07-25 09:01,1600,2,0,0,0,而且没吵架你扒什么车门啊 //@Alzek87:智商太低或者视力太差的话，动物园都去不了
1599,1191552324,没籽的葡萄好吃,新疆 乌鲁木齐,2016-07-25 08:59,1,1,0,0,0,蠢货居然没死？
1598,5944060014,我就四个烟台银,山东 烟台,2016-07-25 09:00,1,1,0,0,0,我就想知道，认为动物园有责任的人，你们觉得动物园应该怎样做。
1597,5577242805,SEVENTEEN徐明浩,其他,2016-07-25 09:00,1,1,0,0,0,上次那个让七八岁的孩子拿着生鸡喂老虎的，我看着那孩子小细胳膊伸出去了都害怕，虽然有夹子可是万一呢
1596,1490372962,他回精神病院了,,2016-07-25 09:01,1,1,25,31,0,转发微博
1673,5426689713,宁波鹤年堂眼宝微商总代招代理,浙江 宁波,2016-07-25 09:02,1596,2,0,0,0,//@他回精神病院了:转发微博
1672,1708479403,主任家的小宝宝,其他,2016-07-25 09:02,1596,2,0,0,0,//@他回精神病院了: 转发微博
1671,2518065512,最后的黑千鸟,四川 成都,2016-07-25 09:06,1596,2,0,0,0,傻比//@他回精神病院了:转发微博
1670,2091230153,马峦山前,,2016-07-25 09:07,1596,2,0,0,0,//@他回精神病院了:转发微博
1669,2101650225,自由天马的星空,,2016-07-25 09:07,1596,2,0,0,0,别瞎找原因//@他回精神病院了:转发微博
1668,1910841025,水月妙如,北京,2016-07-25 09:08,1596,2,0,0,0,真赖 //@他回精神病院了:转发微博
1667,1765808854,瑜美玉也,广西 桂林,2016-07-25 09:10,1596,2,0,0,0,//@他回精神病院了:转发微博
1666,1410432864,beautynemo,北京 朝阳区,2016-07-25 09:11,1596,2,0,0,0,//@他回精神病院了:转发微博
1665,1216975771,如影随形liua,河北 廊坊,2016-07-25 09:11,1596,2,1,1,0,就算活下来了，想到自己的妈为了自己而死，也不会好过吧！ //@他回精神病院了:转发微博
1674,1438772295,紫雪飞絮,,2016-07-25 11:44,1665,3,0,1,0,活下来也只会活在大家的谴责中，也许还给车上的孩子带来了童年创伤//@如影随形liua:就算活下来了，想到自己的妈为了自己而死，也不会好过吧！ //@他回精神病院了:转发微博
1664,2978673585,天空0709,河南 开封,2016-07-25 09:11,1596,2,0,0,0,//@他回精神病院了:转发微博
